index,Dividend Premium,date
39,-0.6175915291604701,6/01/1990
40,-0.630760443750111,7/01/1990
41,-0.7219676190954373,8/01/1990
42,-0.7324780926223688,9/01/1990
43,-0.6903961471880553,10/01/1990
44,-0.6800872934453362,11/01/1990
45,0.09759172311663732,12/01/1990
46,0.24595387034798752,1/01/1991
47,0.3679899969416181,2/01/1991
48,0.48891366041315276,3/01/1991
49,0.5527204603069038,4/01/1991
50,1.1631508098056809,5/01/1991
51,1.1809554344391877,6/01/1991
52,1.147771524626193,7/01/1991
53,1.1079320206169123,8/01/1991
54,1.0123142293490712,9/01/1991
55,1.1070797397672083,10/01/1991
56,1.0876050228823315,11/01/1991
57,1.1799386020231313,12/01/1991
58,0.770132716790932,1/01/1992
59,0.8358110567477406,2/01/1992
60,0.7268357788619307,3/01/1992
61,0.7285099813013474,4/01/1992
62,0.711116626774464,5/01/1992
63,0.8834110577549987,6/01/1992
64,1.0628056543296205,7/01/1992
65,1.1428851123460977,8/01/1992
66,1.2064088591238171,9/01/1992
67,1.3493974763968375,10/01/1992
68,1.3799718953804034,11/01/1992
69,1.425434269457161,12/01/1992
70,1.4328143767547836,1/01/1993
71,1.54467337705667,2/01/1993
72,1.4617407229447352,3/01/1993
73,1.4651883035895537,4/01/1993
74,1.3076213290474146,5/01/1993
75,1.3221724198675355,6/01/1993
76,1.2486494291695756,7/01/1993
77,1.1708546447780586,8/01/1993
78,1.135426261790826,9/01/1993
79,1.1518341503083063,10/01/1993
80,1.1577559772261015,11/01/1993
81,1.2367259695855508,12/01/1993
82,1.0738594125539394,1/01/1994
83,1.0858189372082003,2/01/1994
84,0.9440053003684117,3/01/1994
85,0.9244136795929956,4/01/1994
86,0.0,5/01/1994
87,0.0,6/01/1994
88,0.0,7/01/1994
89,0.0,8/01/1994
90,0.0,9/01/1994
91,0.0,10/01/1994
92,0.0,11/01/1994
93,0.0,12/01/1994
94,0.0,1/01/1995
95,0.0,2/01/1995
96,-0.43981458812280205,3/01/1995
97,-0.38617190517348554,4/01/1995
98,-0.6039984496996692,5/01/1995
99,-0.5151753478924566,6/01/1995
100,-0.942854575361755,7/01/1995
101,-0.8857604233904474,8/01/1995
102,-0.7895891678851835,9/01/1995
103,-0.7854654945420451,10/01/1995
104,0.0,11/01/1995
105,0.48125894747769804,12/01/1995
106,0.4910935502901941,1/01/1996
107,0.28086684292731057,2/01/1996
108,0.5280014562601791,3/01/1996
109,0.17470537374864625,4/01/1996
110,0.1412430584198027,5/01/1996
111,0.30046411069976153,6/01/1996
112,0.43880777347725464,7/01/1996
113,0.4921683661614479,8/01/1996
114,0.48394583844750455,9/01/1996
115,0.5846130665545772,10/01/1996
116,0.45079864940968545,11/01/1996
117,0.37593885874470423,12/01/1996
118,-1.0027627345249261,1/01/1997
119,-0.9273838309476793,2/01/1997
120,-0.7887728906963237,3/01/1997
121,-0.8555874720676667,4/01/1997
122,-0.8154180027794741,5/01/1997
123,-0.7029870312443567,6/01/1997
124,-0.9016704989824941,7/01/1997
125,-1.0090221931010175,8/01/1997
126,-1.225099668220617,9/01/1997
127,-0.9793311253907044,10/01/1997
128,-0.710729321984602,11/01/1997
129,-0.5964901085053995,12/01/1997
130,-0.5694055938029438,1/01/1998
131,-0.7453851806692757,2/01/1998
132,-0.5903099529560929,3/01/1998
133,-0.571335573258465,4/01/1998
134,-0.42224968041659705,5/01/1998
135,-0.21478420481722937,6/01/1998
136,-0.047441692141205326,7/01/1998
137,0.07652350010967722,8/01/1998
138,0.3073136864940167,9/01/1998
139,0.4113106362356007,10/01/1998
140,0.16844850192570696,11/01/1998
141,0.23654729435211075,12/01/1998
142,0.40712761888177784,1/01/1999
143,0.3754496622219165,2/01/1999
144,0.33722996696376545,3/01/1999
145,0.3024340444188469,4/01/1999
146,0.28006996648458843,5/01/1999
147,-0.006890884068423299,6/01/1999
148,-0.033000191736926913,7/01/1999
149,-0.041395261200498114,8/01/1999
150,-0.1186682164699755,9/01/1999
151,-0.17703297238202903,10/01/1999
152,-0.5368301201217393,11/01/1999
153,-0.7319414214080769,12/01/1999
154,-0.062170060307175236,1/01/2000
155,-0.08699703811910224,2/01/2000
156,-0.22420972362519442,3/01/2000
157,-0.028929135551029682,4/01/2000
158,0.07268806743600956,5/01/2000
159,-0.17285413648913645,6/01/2000
160,-0.11164540776210687,7/01/2000
161,-0.1801424042101584,8/01/2000
162,-0.02912559569379526,9/01/2000
163,0.11446678299401723,10/01/2000
164,0.2590719930145516,11/01/2000
165,0.23864953197280864,12/01/2000
166,0.058216239815801485,1/01/2001
167,0.17280056924362996,2/01/2001
168,0.03726851858508786,3/01/2001
169,-0.09182023453755875,4/01/2001
170,-0.15969185049847182,5/01/2001
171,-0.011359236563931273,6/01/2001
172,0.3613486896386121,7/01/2001
173,0.31998825274625786,8/01/2001
174,0.7421732216027438,9/01/2001
175,0.5111350775824784,10/01/2001
176,0.41759694684593235,11/01/2001
177,0.38550066377849534,12/01/2001
178,0.37405088192800634,1/01/2002
179,0.2864965358576793,2/01/2002
180,0.2429405490099504,3/01/2002
181,0.2769807594019468,4/01/2002
182,0.34888544895529827,5/01/2002
183,0.46368358522714753,6/01/2002
184,0.4397981635812517,7/01/2002
185,0.45450024128861954,8/01/2002
186,0.5847421442367461,9/01/2002
187,0.44566153404498804,10/01/2002
188,0.3130687485880213,11/01/2002
189,0.3932553314355877,12/01/2002
190,0.2823221821315362,1/01/2003
191,0.22490566630760908,2/01/2003
192,0.22245602980208154,3/01/2003
193,0.19833697211593082,4/01/2003
