date,detrended_turnover,turnover_per_share,total_turnover,total_shares
1/01/2000,0.0,0.09149263374891274,2282226.2,24944371.0
2/01/2000,0.38555091246838813,0.10691467024764827,2666919.2,24944371.0
3/01/2000,-0.27829351426286386,0.09085484657039458,2266317.0,24944371.0
4/01/2000,0.12298763457785702,0.09970038711106138,2486978.4,24944521.0
5/01/2000,-0.4909795579247984,0.08496614547138429,2119439.8000000003,24944521.0
6/01/2000,-0.9992641902279144,0.0708033960644103,1766156.8,24944521.0
7/01/2000,-0.12855086515083033,0.08778915968211587,2190093.9000000004,24947202.0
8/01/2000,0.048333497473244946,0.0914649426416638,2281794.4000000004,24947202.0
9/01/2000,0.2752551132171585,0.09669151273958497,2412182.6999999997,24947202.0
10/01/2000,1.1079822521935192,0.11580823830176445,2888841.5999999996,24945044.0
11/01/2000,1.423333775864418,0.12496193632691127,3117181.0,24945044.0
12/01/2000,1.1152814454452127,0.12082867416479116,3014124.1999999997,24945438.0
1/01/2001,1.883994299116154,0.13934292173673693,3721874.8,26710182.0
2/01/2001,0.7055198570573309,0.11685884806026406,3121321.1,26710182.0
3/01/2001,1.1057761244073248,0.12644365358498869,3377333.0,26710182.0
4/01/2001,0.7655635883593692,0.12066015431517539,3222865.3,26710270.0
5/01/2001,-0.4334496621888444,0.09613807722647506,2567874.0,26710270.0
6/01/2001,1.606415075873982,0.1388252720769951,3708060.5,26710270.0
7/01/2001,-0.10162246667913336,0.10455160737406709,2792940.2,26713508.0
8/01/2001,-0.8133468636085578,0.08946096484220643,2389816.2,26713508.0
9/01/2001,3.894720052784775,0.18751702322285788,5009237.5,26713508.0
10/01/2001,1.7522325103477239,0.14633606524111467,3908640.4,26710028.0
11/01/2001,-1.7266195057237672,0.07518937082357234,2008310.2000000002,26710028.0
12/01/2001,-1.5644181589374153,0.07707303414283205,2058622.9,26710028.0
1/01/2002,-2.4581149505535302,0.0571506691850485,1554589.3,27201594.0
2/01/2002,-2.018802962368789,0.0643218665788483,1749657.3000000003,27201594.0
3/01/2002,-1.7486762700542884,0.06837926483278885,1860025.0,27201594.0
4/01/2002,-2.2095837080391334,0.057524387400470355,1566639.2999999998,27234350.0
5/01/2002,-2.203299154665411,0.05607629335746952,1527201.4,27234350.0
6/01/2002,-1.546742281534161,0.06814071200524337,1855767.9999999998,27234350.0
7/01/2002,0.014351511036611586,0.09937215553068322,2706409.5,27235089.0
8/01/2002,-1.2265921454174378,0.07376193263036518,2008912.7999999998,27235089.0
9/01/2002,-0.32605233049378335,0.09156894622227965,2493888.4,27235089.0
10/01/2002,-0.5922390340892654,0.08588627940243712,2339046.0,27234222.0
11/01/2002,-0.6011905454514334,0.0853536076778694,2324539.0999999996,27234222.0
12/01/2002,-1.8702160141969224,0.05890440343770423,1604215.6,27234222.0
1/01/2003,-1.9714909963046923,0.055783631019824004,1555038.5,27876251.0
2/01/2003,-0.5013573775694912,0.08491529940665263,2367120.1999999997,27876251.0
3/01/2003,-0.07257588116622443,0.09345273150252521,2605111.8,27876251.0
4/01/2003,-1.1410671391099267,0.07149774370821017,1993185.5,27877600.0
5/01/2003,-0.7421786414497269,0.0791044243406893,2205241.5,27877600.0
6/01/2003,-0.2676201767813212,0.08846504720635921,2466193.1999999997,27877600.0
7/01/2003,-1.0800518518690336,0.07170210329895306,1998980.5,27878966.0
8/01/2003,-1.1583198405085906,0.06959799011197187,1940320.0,27878966.0
9/01/2003,-0.20551804446344926,0.08856060873993678,2468978.2,27878966.0
10/01/2003,-0.9321150420505193,0.07361439543617292,2052300.0,27879058.0
11/01/2003,-0.47525031285471087,0.08254505944928268,2301278.5,27879058.0
12/01/2003,-0.34887752837029984,0.08492405661626014,2367602.7,27879058.0
1/01/2004,-0.7265226972510925,0.07706843544812299,2160367.2,28031803.0
2/01/2004,0.15060312738770787,0.09467242260513889,2653838.7,28031803.0
3/01/2004,0.047440066070254805,0.09262813740521793,2596533.7,28031803.0
4/01/2004,-1.140929021675753,0.06841333250454257,1918368.2,28040853.0
5/01/2004,-0.7431379824291574,0.07608333098854018,2133441.5,28040853.0
6/01/2004,-1.2087437079436734,0.06631508677713906,1859531.6,28040853.0
7/01/2004,-1.2793560848734307,0.06442900365155374,1806914.5,28045048.0
8/01/2004,-0.5550763839173578,0.07871275171288707,2207502.9,28045048.0
9/01/2004,-0.900666529225641,0.07147928218914083,2004639.9,28045048.0
10/01/2004,-0.29509604273916035,0.08348714944773389,2341411.8,28045176.0
11/01/2004,-0.47048442781730954,0.07981714573657873,2238485.9000000004,28045176.0
12/01/2004,-1.4988280940130008,0.05874219509266049,1647435.1999999997,28045176.0
1/01/2005,-0.7613640299093727,0.07318637201245883,2016820.2,27557319.0
2/01/2005,-0.34673561867573505,0.08104782616915672,2233460.8,27557319.0
3/01/2005,-0.4479569103878561,0.07882286734787226,2172146.9,27557319.0
4/01/2005,-0.3955368096268653,0.07953518262160107,2191858.4,27558350.0
5/01/2005,-0.7013308377208517,0.07322359284935419,2017921.4,27558350.0
6/01/2005,-0.8322712432624384,0.07060141844486334,1945658.5999999996,27558350.0
7/01/2005,0.9150642304633152,0.10584912738102692,2917119.5999999996,27559222.0
8/01/2005,-0.4474256147544098,0.07838126925353697,2160126.8,27559222.0
9/01/2005,-0.6037771479149481,0.07489089496067776,2063934.7999999998,27559222.0
10/01/2005,-0.23216940283573434,0.08175550429549079,2253120.3000000003,27559249.0
11/01/2005,0.010285387289214049,0.0859544757551267,2368840.8,27559249.0
12/01/2005,-0.7493629096809673,0.06991291380980665,1926747.4,27559249.0
1/01/2006,-0.35263816335160125,0.07680511190587969,2083608.4,27128512.0
2/01/2006,-0.025987179511270664,0.0827699838457782,2245426.5,27128512.0
3/01/2006,-0.2326036514601608,0.07782738323428873,2111341.1000000006,27128512.0
