,Unnamed: 0,IPOdate,company,isin,Trading Location,ticker,first_day_return,first_month_return
147,147,2008-01-23,SATYAM COMPUTER SERVICES-ADR A,,Amsterdam,,,
148,148,2007-12-18,NR NORDIC RUSSIA,JE00B1G3KL02,Amsterdam,,,
149,149,2007-12-18,PUNCH GRAPHIX,NL0006007247,Amsterdam,,,
150,150,2007-12-18,PUNCH GRAPHIX,NL0006007247,Amsterdam,,,
151,151,2007-12-06,HARBOURVEST HVGPE,GG00B28XHD63,Amsterdam,HVPD.Ld ,,
152,152,2007-12-03,OCTOPLUS,NL0000345718,Amsterdam,,,
153,153,2007-12-03,OCTOPLUS,NL0000345718,Amsterdam,,,
154,154,2007-11-28,BINCKBANK,NL0000335578,Amsterdam,,,
155,155,2007-11-28,BINCKBANK,NL0000335578,Amsterdam,,,
156,156,2007-11-22,MEI RUSLAND MID FO,NL0006033219,Amsterdam,,,
157,157,2007-11-03,DELTA LLOYD,NL0009294552,Amsterdam,,,
158,158,2007-10-17,YATRA,JE00B1FBT077,Amsterdam,YATRA.AS ,"Ticker
YATRA.AS   -0.0
Name: 2007-10-17 00:00:00, dtype: float64","Ticker
YATRA.AS   -0.066986
dtype: float64"
159,159,2007-10-15,ROY BK OF SCOTLAND,GB0007547838,Amsterdam,,,
160,160,2007-09-18,ACCSYS,GB00B0LMC530,Amsterdam,1D8.Fd ,,
161,161,2007-09-03,ARCELORMITTAL,LU0307198241,Amsterdam,,,
162,162,2007-07-19,PEHAC,NL0000293686,Amsterdam,,,
163,163,2007-07-18,NB PRIV EQ PARTN,GG00B1ZBD492,Amsterdam,NBPE.Ld ,,
164,164,2007-07-17,YATRA,JE00B1FBT077,Amsterdam,YATRA.AS ,"Ticker
YATRA.AS   -0.0
Name: 2007-07-17 00:00:00, dtype: float64","Ticker
YATRA.AS   -0.066667
dtype: float64"
165,165,2007-07-12,LEO CAPITAL GROWTH,KYG545791009,Amsterdam,,,
166,166,2007-07-11,AMG,NL0000888691,Amsterdam,AMG.AS ,"Ticker
AMG.AS    0.0
Name: 2007-07-11 00:00:00, dtype: float64","Ticker
AMG.AS    0.050848
dtype: float64"
167,167,2007-07-04,CARLYLE CAPITAL,GG00B1VYV826,Amsterdam,,,
168,168,2007-06-29,CONVERSUS CAP,GG00B1WR8K11,Amsterdam,,,
169,169,2007-06-26,SNS REAAL,NL0000390706,Amsterdam,,,
170,170,2007-06-26,SNS REAAL,NL0000390706,Amsterdam,,,
171,171,2007-06-22,UNIBAIL-RODAMCO,FR0000124711,Amsterdam,,,
172,172,2007-06-22,QURIUS,NL0000368140,Amsterdam,,,
173,173,2007-06-20,AMT HOLDING,NL0000886968,Amsterdam,,,
174,174,2007-04-19,TETRAGON FIN GROUP,GG00B1RMC548,Amsterdam,TFG.AS,"Ticker
TFG.AS    0.0
Name: 2007-04-19 00:00:00, dtype: float64","Ticker
TFG.AS   -0.014852
dtype: float64"
175,175,2006-12-15,VOLTA FINANCE,GG00B1GHHH78,Amsterdam,VTA.AS,"Ticker
VTA.AS    0.0
Name: 2006-12-15 00:00:00, dtype: float64","Ticker
VTA.AS   -0.05
dtype: float64"
176,176,2006-12-08,MW TOPS,GG00B1GGVL67,Amsterdam,,,
177,177,2006-12-06,YATRA,JE00B1FBT077,Amsterdam,YATRA.AS ,"Ticker
YATRA.AS   -0.0
Name: 2006-12-06 00:00:00, dtype: float64","Ticker
YATRA.AS    0.046296
dtype: float64"
178,178,2006-11-24,TMC,NL0000290997,Amsterdam,,,
179,179,2006-11-02,BOUSSARD GAVAUDAN,GG00B1FQG453,Amsterdam,,,
180,180,2006-10-04,OCTOPLUS,NL0000345718,Amsterdam,,,
181,181,2006-09-22,PROLOGIS EURO PROP,LU0100194785,Amsterdam,,,
182,182,2006-08-08,AP Alternative Assets L.P.,GB00B15Y0C52,Amsterdam,,,
183,183,2006-08-01,LBI International AB,SE0000495293,Amsterdam,,,
184,184,2006-06-26,ONCOMETHYLOME SCNC,BE0003844611,Amsterdam,,,
185,185,2006-05-18,SNS REAAL,NL0000390706,Amsterdam,,,
186,186,2006-05-03,KKR,GB00B13BNQ35,Amsterdam,,,
187,187,2006-04-12,ROYALREESINK,NL0000379303,Amsterdam,,,
188,188,2006-04-12,ROYALREESINK,NL0000379303,Amsterdam,,,
189,189,2005-12-15,EUROCASTLE INVEST.,GB00B01C5N27,Amsterdam,,,
190,190,2005-11-22,ENDEMOL,NL0000345692,Amsterdam,,,
191,191,2005-11-18,TELE ATLAS,NL0000233948,Amsterdam,,,
192,192,2005-05-27,TOMTOM,NL0000387058,Amsterdam,TOM2.AS,"Ticker
TOM2.AS    0.0
Name: 2005-05-27 00:00:00, dtype: float64","Ticker
TOM2.AS   -0.013058
dtype: float64"
193,193,2005-05-06,GALAPAGOS,BE0003818359,Amsterdam,GLPG.AS,"Ticker
GLPG.AS    0.0
Name: 2005-05-06 00:00:00, dtype: float64","Ticker
GLPG.AS   -0.046639
dtype: float64"
194,194,2004-07-09,LB ICON AB,SE0000476962,Amsterdam,,,
195,195,2004-05-27,SPYKER CARS,NL0000380830,Amsterdam,,,
196,196,2003-07-10,KARDAN,NL0000113652,Amsterdam,KRNV-M.TA,,
197,197,2003-07-10,KARDAN,NL0000113652,Amsterdam,KRNV-M.TA,,
