date,consumer_sentiment_pca
1986-04-01,0.2890378030178505
1986-05-01,0.8123652824494925
1986-06-01,1.5025333345822875
1986-07-01,1.921345057636625
1986-08-01,2.01043412967965
1986-09-01,2.064543831192995
1986-10-01,2.0911045651600353
1986-11-01,2.0638664210227686
1986-12-01,1.9782707245259405
1987-01-01,2.1673537239181493
1987-02-01,2.345862798815369
1987-03-01,2.2566932869670233
1987-04-01,1.1832755370883097
1987-05-01,0.32206023884589313
1987-06-01,0.020923778436102457
1987-07-01,0.027010698907864346
1987-08-01,0.4850575819662663
1987-09-01,1.3372088393236774
1987-10-01,0.7600568283727228
1987-11-01,0.47340027158232784
1987-12-01,0.21456086360578006
1988-01-01,-0.09737410798835573
1988-02-01,0.032659362386410554
1988-03-01,0.3948017064716431
1988-04-01,0.8397469934271564
1988-05-01,0.9202875976096736
1988-06-01,0.9202875976096736
1988-07-01,1.2842833269066183
1988-08-01,1.8276610998698326
1988-09-01,1.61982471712215
1988-10-01,1.696768976312183
1988-11-01,2.0856564211511524
1988-12-01,1.9646608119182658
1989-01-01,2.1455275072228566
1989-02-01,1.9412649398266906
1989-03-01,2.1921385347214692
1989-04-01,2.1099289121139355
1989-05-01,1.8365471264009972
1989-06-01,2.1741923928340903
1989-07-01,2.536519103706018
1989-08-01,2.626083253444248
1989-09-01,2.626083253444248
1989-10-01,2.758393904421065
1989-11-01,2.8180626580177477
1989-12-01,2.7607335591401103
1990-01-01,2.660820071596247
1990-02-01,2.1960892977011772
1990-03-01,2.1323682518571014
1990-04-01,1.998971237234007
1990-05-01,1.8257275257542878
1990-06-01,1.724395510791257
1990-07-01,1.846252896981065
1990-08-01,1.8276473106117854
1990-09-01,1.1744530373303792
1990-10-01,0.535355092180691
1990-11-01,-0.1916045382557478
1990-12-01,-0.17305008817462436
1991-01-01,-0.4096281462367027
1991-02-01,-0.9024411509642672
1991-03-01,-0.40213891923849066
1991-04-01,-0.3892767517392447
1991-05-01,-0.017249085141377303
1991-06-01,0.035909228019837446
1991-07-01,-0.2688637972850972
1991-08-01,-0.4996870986483033
1991-09-01,-0.677985902442334
1991-10-01,-1.0953243116871891
1991-11-01,-0.9347068431885215
1991-12-01,-0.7039237617279755
1992-01-01,-0.7791701204191708
1992-02-01,-0.9461282290542655
1992-03-01,-0.8557425222617736
1992-04-01,-0.8087627611897692
1992-05-01,-0.6512955880789126
1992-06-01,-0.10684576705558763
1992-07-01,0.37012794975948776
1992-08-01,0.449806776985083
1992-09-01,0.3222461918279014
1992-10-01,0.09421536866461086
1992-11-01,-0.43692258515263666
1992-12-01,-1.050904228070945
1993-01-01,-1.0921919819877042
1993-02-01,-1.3981991679251107
1993-03-01,-1.7415655990139025
1993-04-01,-1.7291382893072011
1993-05-01,-1.6875680385367324
1993-06-01,-1.638827627422263
1993-07-01,-1.6301987197564347
1993-08-01,-1.1238349455472696
1993-09-01,-0.7222956043122436
1993-10-01,-1.1269821171610412
1993-11-01,-0.8826482662188951
1993-12-01,-0.9680302924118637
1994-01-01,-1.0895969676931627
1994-02-01,-0.8069088641441694
1994-03-01,-0.40383345955603434
1994-04-01,-0.021047501676482186
1994-05-01,0.16547098088069348
1994-06-01,0.49320502048465836
1994-07-01,0.5367328588748468
1994-08-01,0.9879417453621377
1994-09-01,1.4811560158390744
1994-10-01,1.191150230386518
1994-11-01,1.0642268354969027
1994-12-01,0.5490754402502188
1995-01-01,0.4485649823414497
1995-02-01,1.0467298669882352
1995-03-01,1.4562243558210224
1995-04-01,1.3510537189144582
1995-05-01,1.4638473396458935
1995-06-01,1.2420475838384002
1995-07-01,1.3215018243746395
1995-08-01,1.7300269591669704
1995-09-01,1.753013877782494
1995-10-01,2.1142573487821834
1995-11-01,2.0436534788270895
1995-12-01,1.413872767898952
1996-01-01,1.1894157600871784
1996-02-01,0.7387234041594728
1996-03-01,0.1757304708838628
1996-04-01,0.10398882556770285
1996-05-01,0.4701139384805039
1996-06-01,0.9348849322782339
1996-07-01,1.4563478346860355
1996-08-01,1.4829085686530763
1996-09-01,1.744684601713575
1996-10-01,2.243797775773419
1996-11-01,1.9636918793211529
1996-12-01,1.774174022136399
1997-01-01,2.06756588147825
1997-02-01,2.286002093037415
1997-03-01,2.5627221910270186
1997-04-01,2.6899777496895245
1997-05-01,2.848041893165287
1997-06-01,2.8760839040951214
1997-07-01,3.0025983455086855
1997-08-01,2.9431139586986985
1997-09-01,2.9336634939786084
1997-10-01,3.034398538576733
1997-11-01,3.1345366128099523
1997-12-01,3.0054947506899756
1998-01-01,3.106005208598746
1998-02-01,3.195174720447091
1998-03-01,3.6013602005203764
1998-04-01,3.6532509070226573
1998-05-01,3.85371507237795
1998-06-01,3.9755322386650978
1998-07-01,3.884733928294396
1998-08-01,3.623739232385499
1998-09-01,2.938520179346689
1998-10-01,1.8643332416635903
1998-11-01,1.6461073012076142
1998-12-01,1.908730795638868
1999-01-01,1.8772993361442114
1999-02-01,1.8387236206220479
1999-03-01,1.9409801620856273
1999-04-01,2.211451227031108
1999-05-01,2.3699904482020755
1999-06-01,2.41697020927408
1999-07-01,2.774282047734357
1999-08-01,2.7664746971227903
1999-09-01,3.490044878994408
1999-10-01,4.083194891229542
1999-11-01,4.215958365687229
1999-12-01,4.252006660502982
2000-01-01,4.409212150795861
2000-02-01,4.265255527263944
2000-03-01,4.146230839176711
2000-04-01,4.215987247761051
2000-05-01,3.9879564245977606
2000-06-01,4.069304270248372
2000-07-01,3.896882115822914
2000-08-01,3.8035418182581457
2000-09-01,3.687627205656064
