EUROPEAN CODE,LEI,FUND NAME,MANAGEMENT NAME,ADDRESS,INVESTMENT POLICY,CAPITAL VARIABILITY,ISIN CODE
NL10042342,,H2 Equity Partners Fund III C.V.,H2 Equity Partners B.V.,"Oosteinde 19, 1017 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL10046478,,Health Innovation Fund I B.V.,,"Computerweg 22, 3542 , UTRECHT",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
NL10046479,,Health Innovation Fund II B.V.,,"Computerweg 22, 3542 , UTRECHT",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
NL10049885,,Hivos Food & Lifestyle Fund B.V.,Hivos Impact Investments B.V.,"Grote Marktstraat 47 A, 2511 , 'S-GRAVENHAGE",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
NL1711667,,Holland Venture Zorg Innovaties II Coöperatief U.A.,,"Krijn Taconiskade 426, 1087 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
NL3433425,,Homerun Capital Heat C.V.,Homerun Capital Management B.V.,"Prinses Julianalaan 73, 3062 , ROTTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL8335474,,IBX52 Capital Fund I,IBX52 Capital Management B.V.,,Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL10046791,724500H4A0FVHBP1G971,Icos Cleantech Early Stage Fund II B.V.,ICOS Capital Management B.V.,"Johan Huizingalaan 400, 1066 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL10046792,,ICOS DRM 1 C.V.,ICOS Capital Management B.V.,"Johan Huizingalaan 400, 1066 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NL0027668,,Librastone Fund,Librastone Capital Management B.V.,,Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL10030467,,Magnolia Participatiefonds,Van Lanschot Kempen Investment Management N.V.,,Equities,Closed,NL0012650634                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
NL10052672,,Main Capital VI C.V.,MAIN CAPITAL PARTNERS B.V.,"Paleisstraat 6, 2514 , DEN HAAG",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
NL10054676,724500UXXQQ1K8ENK823,Main Foundation I Coöperatief U.A.,MAIN CAPITAL PARTNERS B.V.,"Paleisstraat 6, 2514 , 'S-GRAVENHAGE",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
