Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"European ETFS, Funds, ETVs, ETNs. Type : Funds"
"GS DYN MIX FD IV";NL0000293173;GSDM4;"Euronext Amsterdam";EUR;47,06;47,06;47,06;47,06;"13/05/2025 10:00";CET;2233;'105084,98
"GS DYN MIX FD V";NL0000293181;GSDM5;"Euronext Amsterdam";EUR;51,72;51,72;51,72;51,72;"13/05/2025 10:00";CET;2137;'110525,64
"GS EMERGING EUR FD";NL0000292225;GSEEF;"Euronext Amsterdam";EUR;34,12;34,12;34,12;34,12;"'01/03/2022 09:00";CET;2188;74654,56
"GS ENH IND SUS EME";NL0006311771;GSEME;"Euronext Amsterdam";EUR;47,36;47,36;47,36;47,36;"13/05/2025 10:00";CET;575;27232,00
"GS ENH INDX SNA EQ";NL0015602392;GSENH;"Euronext Amsterdam";EUR;8,79;8,79;8,79;8,79;"13/05/2025 10:00";CET;326;2865,54
"GS ENH INDX SUS EQ";NL0012125736;GSESA;"Euronext Amsterdam";EUR;40,09;40,09;40,09;40,09;"13/05/2025 10:00";CET;1600;64144,00
"GS EQ INV FD";NL0000286318;GSEIF;"Euronext Amsterdam";EUR;18,75;18,75;18,75;18,75;"12/05/2025 10:00";CET;8;150,00
"GS EUR DEELN FD";NL0012817134;GSED;"Euronext Amsterdam";EUR;26,57;26,57;26,57;26,57;"13/05/2025 10:00";CET;651;17297,07
"GS EUR DUUR AAN FD";NL0000292746;GSEDA;"Euronext Amsterdam";EUR;17,19;17,19;17,19;17,19;"13/05/2025 10:00";CET;25251;'434064,69
"GS EUR OBLIG FD";NL0006311797;GSEOF;"Euronext Amsterdam";EUR;30,29;30,29;30,29;30,29;"13/05/2025 10:00";CET;3166;95898,14
"GS EUR RENTE FD";NL0000442101;GSLRF;"Euronext Amsterdam";EUR;12,78;12,78;12,78;12,78;"13/05/2025 10:00";CET;2205;28179,90
"GS EUR SM CAPS FD";NL0006311730;GSESC;"Euronext Amsterdam";EUR;117,00;117,00;117,00;117,00;"13/05/2025 10:00";CET;1418;'165906,00
"GS EUROPE FD";NL0000292332;GSEUF;"Euronext Amsterdam";EUR;42,44;42,44;42,44;42,44;"13/05/2025 10:00";CET;3525;'149601,00
"GS FIRSTCLAS OBLIG";NL0000286441;GSFCO;"Euronext Amsterdam";EUR;18,36;18,36;18,36;18,36;"13/05/2025 10:00";CET;53;973,08
"GS GLOB HIYIELD FD";NL0006311813;GSGHY;"Euronext Amsterdam";EUR;17,60;17,60;17,60;17,60;"13/05/2025 10:00";CET;1826;32137,60
"GS GLOB OBL FD";NL0006311839;GSGLO;"Euronext Amsterdam";EUR;14,34;14,34;14,34;14,34;"13/05/2025 10:00";CET;2062;29569,08
"GS GLOB OPPORT FD";NL0009265404;GSGOF;"Euronext Amsterdam";EUR;47,91;47,91;47,91;47,91;"13/05/2025 10:00";CET;1273;60989,43
"GS GLOB R ESTAT FD";NL0006311847;GSGLR;"Euronext Amsterdam";EUR;78,57;78,57;78,57;78,57;"13/05/2025 10:00";CET;252;19799,64
"GS GLOBAL FD";NL0006311805;GSGLF;"Euronext Amsterdam";EUR;151,09;151,09;151,09;151,09;"13/05/2025 10:00";CET;1690;'255342,10
"GS HOOG DIV A FD";NL0000289858;GSHDA;"Euronext Amsterdam";EUR;44,35;44,35;44,35;44,35;"13/05/2025 10:00";CET;8428;'373781,80
"GS JAPAN FD";NL0000286078;GSJPF;"Euronext Amsterdam";EUR;23,85;23,85;23,85;23,85;"13/05/2025 10:00";CET;275;6558,75
"GS LION FD";NL0006311862;GSLF;"Euronext Amsterdam";EUR;29,36;29,36;29,36;29,36;"13/05/2025 10:00";CET;693;20346,48
"GS NORTH AMER FD";NL0000286045;GSNA;"Euronext Amsterdam";EUR;90,81;90,81;90,81;90,81;"13/05/2025 10:00";CET;475;43134,75
"GS SOV XLT B FD";NL0010489373;GSSXL;"Euronext Amsterdam";EUR;23,87;23,87;23,87;23,87;"18/03/2025 10:00";CET;4;95,48
"GS WERELD MIX FD";NL0000442077;GSMIX;"Euronext Amsterdam";EUR;14,45;14,45;14,45;14,45;"13/05/2025 10:00";CET;7038;'101699,10
